beta,magnetizzazione,delta_magnetizzazione
0.4395,0.6453891786,0.0010206899113445263
0.4399,0.6486512664699999,0.001133784717627926
0.51,0.9231669101299997,9.328064283178828e-05
0.41,0.27313315549000006,0.0008018219000673145
0.4425,0.6822485782400001,0.0009031676778369266
0.4525,0.77224940049,0.0006925376842345846
0.4437,0.69487359841,0.001018427898564466
0.4462,0.7215779330900002,0.0008988600809635147
0.425,0.43563284335999997,0.001220885081956878
0.435,0.58109457703,0.0012231252171603347
0.4401,0.65284697918,0.0011235629387444843
0.48,0.8775390661299999,0.00014262402651024018
0.49,0.8965897104699998,0.00011393199660326393
0.4403,0.6538172222199999,0.0010532938716472922
0.4175,0.34005242138,0.000989063327920552
0.4,0.21469335179,0.0005791655675149599
0.5,0.91131055394,0.00011717073685546707
0.4075,0.25619351221,0.0007815863073321899
0.436,0.59521522201,0.0013363709184944887
0.39,0.17695541896,0.0004532246989623112
0.475,0.8657335561200001,0.00017815250180134613
0.4675,0.8436930663200002,0.00023843393231790164
0.42,0.37141139917,0.0010333049800522135
0.4487,0.74364297831,0.0008250312457956672
0.43,0.5064144892800001,0.0011612329104330864
0.4325,0.54373586676,0.0012557907719359805
0.4225,0.40238333262,0.001185709122794
0.4409,0.66190584527,0.0009991371337825722
0.455,0.78801515541,0.0005685872485600449
0.445,0.7085497791300001,0.0008343956892649002
0.38,0.15020824037,0.0003738123293605341
0.4412,0.66632575538,0.0009142455086708011
0.4275,0.46979284308,0.0011686026700157225
0.4375,0.6170786441399999,0.0013595838429789173
0.385,0.16234859778000002,0.00039217497224621487
0.46,0.81483051187,0.00036311479767724424
0.4398,0.64861942292,0.0011019523651362635
0.4625,0.82506619965,0.00034651048339532357
0.47,0.8517006457599999,0.00022292363318196655
0.415,0.3164590434299999,0.0008950947383701931
0.4402,0.6539719566,0.0010749904029051338
0.395,0.19395597761999997,0.0005044639647569936
0.4025,0.22695201957999997,0.00060384612720537
0.45,0.75441046572,0.0006268751189987663
0.4125,0.29465237675,0.000799412035571882
0.438,0.6232145541299999,0.0010858334409720271
0.37,0.13059133102,0.0003081691656242721
0.465,0.8351562662900001,0.00030655869985502616
0.405,0.24151581962999996,0.0006120944206606469
0.4406,0.6583876015200002,0.0012178827681907322
0.485,0.8877601777199999,0.00013311592555180387
0.4575,0.8028333770899998,0.0004630381412457238
0.4475,0.7319748666899999,0.0008581389452453416
0.44,0.65177935493,0.0010160518543841429
0.36,0.1167024618,0.000291928156172093
0.439,0.6373440877800001,0.001154756707637477
