beta,suscettivita,delta_suscettivita
0.4395,30.10312371241548,0.3356437772283904
0.4399,29.66465032817865,0.3336988148283694
0.51,0.5776252209261146,0.004560352365341215
0.41,28.80557548386793,0.11303569814469794
0.4425,24.642382670548663,0.30661703459271084
0.4525,10.946200997552069,0.24809120812562696
0.4437,23.06069280246429,0.3437443750812558
0.4462,18.51818616680678,0.34637132365183004
0.425,42.88534501147356,0.15910566051667285
0.435,37.45207474769284,0.30133170586744684
0.4401,29.123795425993816,0.383934690418274
0.48,1.6322844471186593,0.01918836458375838
0.49,1.0910800433896695,0.010688558340836386
0.4403,28.79506972667093,0.35484954659518114
0.4175,36.841487718239016,0.12731349758669958
0.4,20.15465113545778,0.09854544360143275
0.5,0.7783302848133,0.008905115261444826
0.4075,26.340108373354138,0.12130546002522596
0.436,36.34722055582781,0.3314946036428476
0.39,14.548395537621783,0.08509105481534693
0.475,2.119512535036805,0.030267685804622184
0.4675,3.4157875262002424,0.07321440998768439
0.42,39.53306055292467,0.14601075191592613
0.4487,15.100190559209514,0.30920540265300045
0.43,42.75215043954902,0.2321887495765117
0.4325,40.820460874876446,0.2408079235996713
0.4225,41.36003464466022,0.13452290129795383
0.4409,27.956067711666115,0.35141521187647323
0.455,8.976988047738176,0.2036490599810432
0.445,20.505631765345377,0.32654616643529266
0.38,10.84815215545348,0.054943706938941496
0.4412,27.14962548354506,0.3660004198612761
0.4275,43.09292125872938,0.18797655583931933
0.4375,33.68806094370541,0.307478315841329
0.385,12.472051759980992,0.06554127462132346
0.46,5.886450239106489,0.13883487570916603
0.4398,29.449070253833582,0.31658250929450504
0.4625,5.043079237595749,0.13927221762717834
0.47,2.8676461877991666,0.056933946445575714
0.415,34.23606189423249,0.12263317725986464
0.4402,28.981628658691015,0.3137612801574613
0.395,17.009271238923066,0.08513523243379634
0.4025,21.913944298703377,0.1002654339804178
0.45,13.386353788919326,0.24531027863098254
0.4125,31.466065487018437,0.1266100115625822
0.438,33.18921634549088,0.317251058737661
0.37,8.409924911182307,0.046346447108893706
0.465,3.988862483891853,0.10993715539841067
0.405,24.13473076660439,0.10843910043898966
0.4406,28.303419730267258,0.35745062959548507
0.485,1.3269357310987995,0.011865250842574133
0.4575,7.020092556239598,0.156535684281576
0.4475,16.942402875741248,0.2771143170904947
0.44,29.210724321329728,0.33027101200045933
0.36,6.776454293837586,0.04124752414083092
0.439,31.122698311691572,0.33900601220347515
